"date","name","description","type","locations"
"1980-04-07","Orthodox Easter Monday","Many Orthodox churches in the United States observe Easter Monday on the day after the Orthodox Easter Sunday date.","Orthodox","All"
"1980-04-07","United Nations' World Health Day","The World Health Organization, the United Nations' the directing and coordinating authority for health, annually highlights one of its priorities for global health on World Health Day.","United Nations observance","All"
"1980-04-07","Easter Monday","Easter Monday is the day after Easter Sunday. It is not a federal holiday in the United States of America (USA).","Observance, Christian","All"
"1980-04-08","Last Day of Passover","The last day of Passover marks the end of the Passover period, which lasts for seven or eight days.","Hebrew","All"
"1980-04-13","Yom HaShoah","Many people in the United States observe Yom Hashoah by remembering Holocaust victims who died during World War II.","Hebrew","All"
"1980-04-15","Tax Day","Tax Day is the deadline for United States residents to file details of their income to the Internal Revenue Service (IRS) so that their liability for income tax can be assessed.","Observance","All"
"1980-04-15","Father Damien Day","Father Damien Day or Saint Damien Day is an occasion for residents of the state of Hawaii to remember the life and deeds of a Belgian missionary.","Local observance","HI"
"1980-04-16","Emancipation Day","People celebrate the end of slavery and citizens' rights on Emancipation Day in the United States.","Local observance","All"
"1980-04-21","Yom Ha'atzmaut","Many Jewish communities in the United States celebrate Yom Ha’Atzmaut, which is Israel’s Independence Day, on the fifth day of the month of Iyar in the Jewish calendar.","Hebrew","All"
"1980-04-21","Patriot's Day","Patriot's Day commemorates the battles of Lexington and Concord in 1775, which were two of the earliest battles in the American Revolutionary War.","Local holiday","ME, MA"
"1980-04-21","San Jacinto Day","San Jacinto Day commemorates the Battle of San Jacinto in what is now Harris County, Texas.","Local holiday","TX"
"1980-04-21","Boston Marathon","Boston Marathon is one of the world's oldest yearly marathon. It is held annually on Patriot's Day in the month of April.","Sporting event","All"
"1980-04-22","Earth Day","The United Nations' International Mother Earth Day promotes environmental awareness and calls for the protection of our planet.","United Nations observance","All"
"1980-04-22","Oklahoma Day","Oklahoma Day in the United States marks the anniversary of the opening of Oklahoma's lands to European settlers.","Local observance","OK"
"1980-04-22","Arbor Day","Arbor Day encourages people to plant and care for trees. In Nebraska, it falls on the last Friday of April.","Local holiday","NE"
"1980-04-23","World Book and Copyright Day","World Book and Copyright Day is an occasion to celebrate the contribution of books and authors to our global culture and the connection between copyright and books.","United Nations observance","All"
"1980-04-23","Administrative Professionals Day","Administrative Professionals Day® is on the Wednesday of the last full week of April. It remembers the important role of administrative professionals.","Observance","All"
"1980-04-26","Confederate Heroes' Day","On Confederate Memorial Day remembers the soldiers who died fighting for the Confederate States of America during the American Civil War (1861-1865). It is a state holiday in some parts of the United States.","Local observance","FL"
"1980-04-27","Daylight Saving Time starts",NA,"Clock change/Daylight Saving Time","All"
"1980-04-28","Confederate Memorial Day","On Confederate Memorial Day remembers the soldiers who died fighting for the Confederate States of America during the American Civil War (1861-1865). It is a state holiday in some parts of the United States.","Local holiday","AL"
"1980-04-28","Confederate Memorial Day","On Confederate Memorial Day remembers the soldiers who died fighting for the Confederate States of America during the American Civil War (1861-1865). It is a state holiday in some parts of the United States.","Local holiday","MS"
"1980-04-28","Confederate Heroes' Day","On Confederate Memorial Day remembers the soldiers who died fighting for the Confederate States of America during the American Civil War (1861-1865). It is a state holiday in some parts of the United States.","Local holiday","GA"
"1980-05-01","Law Day","Law Day in the United States is annually held on May 1.","Observance","All"
"1980-05-01","Loyalty Day","Loyalty Day is a special day for people to reaffirm their loyalty to the United States and to recognize the heritage of American freedom.","Observance","All"
"1980-05-01","National Day of Prayer","National Day of Prayer is held on the first Thursday of May each year, inviting Americans of all faiths to pray for the country and its leaders.","Observance","All"
"1980-05-01","Lei Day","May Day is Lei Day in Hawai'i, celebrating Hawaiian culture or the “Aloha spirit.","Local observance","HI"
"1980-05-02","Kentucky Oaks","The Kentucky Oaks is a rade 1 Stakes horse race held annually on the Friday before the Kentucky Derby in May.","Sporting event","All"
"1980-05-03","Kentucky Derby","Kentucky Derby is a Grade I Stakes horse race held annually in Louisville, Kentucky in May.","Sporting event","All"
"1980-05-04","Lag BaOmer","Many Jewish Americans observe Lag B’Omer on the 18th day of the month of Iyar in the Jewish calendar.","Hebrew","All"
"1980-05-04","Kent State Shootings Remembrance","Kent State Shootings Remembrance Day is a local observance in Kent, Ohio.","Local observance","OH"
"1980-05-04","Rhode Island Independence Day","Rhode Island Independence Day is a day to celebrate the state's declaration of independence from Great Britain in 1776.","Local observance","RI"
"1980-05-05","Cinco de Mayo","'Cinco de Mayo' means ""Fifth of May"" in Spanish and is a festival of Mexican pride and heritage.","Observance","All"
"1980-05-08","Truman Day","Truman Day is a holiday in the state of Missouri to honor Harry S Truman, the only person born in Missouri to ever become President of the United States.","Local holiday","MO"
"1980-05-09","Confederate Memorial Day observed","On Confederate Memorial Day remembers the soldiers who died fighting for the Confederate States of America during the American Civil War (1861-1865). It is a state holiday in some parts of the United States.","Local holiday","SC"
"1980-05-10","Confederate Memorial Day","On Confederate Memorial Day remembers the soldiers who died fighting for the Confederate States of America during the American Civil War (1861-1865). It is a state holiday in some parts of the United States.","Local holiday","SC"
"1980-05-10","Confederate Memorial Day","On Confederate Memorial Day remembers the soldiers who died fighting for the Confederate States of America during the American Civil War (1861-1865). It is a state holiday in some parts of the United States.","Local holiday","NC"
"1980-05-11","Mother's Day","Mother's Day celebrates the role of mothers and mother figures.","Observance","All"
"1980-05-12","International Nurses Day","Interantional Nurses Day is used to focus on the important task of recruiting and training nurses worldwide.","Worldwide observance","All"
"1980-05-13","Primary Election Day","Many residents in West Virginia vote during the state’s primary election day.","Local holiday","WV"
"1980-05-15","Ascension Day","Ascension Day is the 40th day of Easter and commemorates the ascension of Jesus Christ into heaven.","Christian","All"
"1980-05-15","Peace Officers Memorial Day","Peace Officers Memorial Day is held annually in the United States on May 15 in honor of federal, state and local officers killed or disabled in the line of duty.","Observance","All"
"1980-05-16","National Defense Transportation Day","National Defense Transportation Day occurs annually in the United States on the third Friday of May.","Observance","All"
"1980-05-17","Armed Forces Day","Armed Forces Day is a national observance in the United States on the third Saturday of May each year.","Observance","All"
"1980-05-17","Preakness Stakes","The Preakness Stakes is the second event in the Triple Crown and is annually held two weeks after the Kentucky Derby.","Sporting event","All"
"1980-05-21","Shavuot","Shavuot, also known as the Festival of Weeks, is one of three major Jewish festivals.","Hebrew","All"
"1980-05-22","National Maritime Day","National Maritime Day is annually observed in the United States on May 22. It is a time to observe its maritime heritage, to honor those who served as merchant mariners, and to recognize the benefits of the maritime industry.","Observance","All"
"1980-05-25","Pentecost","Many Christians in the United States observe Pentecost, also known as Whitsunday or Whit Sunday.","Christian","All"
"1980-05-25","African Liberation Day","African Liberation Day celebrates African nations' hard-fought freedom from European colonial powers.","Worldwide observance","All"
"1980-05-26","Whit Monday","Many Christians in the United States will observe Whit Monday, or Pentecost Monday. It is the day after Pentecost, which is also known as Whit Sunday or Whitsunday.","Christian","All"
"1980-05-26","Memorial Day","Memorial Day commemorates all Americans who have died in military service for the United States.","National holiday","All"
"1980-05-26","Jefferson Davis' Birthday","Jefferson Davis' Birthday, also known as Jefferson Davis Day, is a state holiday in Alabama in the United States.","Local observance","MS"
"1980-06-01","Trinity Sunday","Trinity Sunday is the first Sunday after Pentecost and is celebrated by many Christians in the United States.","Christian","All"
"1980-06-01","Statehood Day","Statehood Day marks the anniversary of the dates that Kentucky became the 15th state and Tennessee became the 16th state of the United States.","Local observance","KY, TN"
"1980-06-02","Jefferson Davis' Birthday","Jefferson Davis' Birthday, also known as Jefferson Davis Day, is a state holiday in Alabama in the United States.","Local holiday","AL"
"1980-06-03","Jefferson Davis' Birthday","Jefferson Davis' Birthday, also known as Jefferson Davis Day, is a state holiday in Alabama in the United States.","Local observance","FL"
"1980-06-05","Corpus Christi","Corpus Christi is observed in honor of the Holy Eucharist.","Christian","All"
"1980-06-05","World Environment Day","World Environment Day is held each year on June 5. It is one of the principal vehicles through which the United Nations (UN) stimulates worldwide awareness of the environment and enhances political attention and action.","United Nations observance","All"
"1980-06-06","D-Day","D-Day is a special anniversary in some countries, including the United States (U.S.), to remember Allied forces’ invasion of Normandy, France, in the Second World War.","Observance","All"
"1980-06-07","Belmont Stakes","The Belmont Stakes is the third and final horse race of the Triple Crown. It is run annually five weeks after the Kentucky Derby.","Sporting event","All"
"1980-06-11","Isra and Mi'raj","Isra and Mi'raj (Isra Me'raj, Israa and Mi'raaj, Laylat Al-Isra wa Al-Miraj, Lailat al Miraj, Night Journey and Ascension to Heaven) marks the night when the Prophet Mohammad traveled from Mecca to Jerusalem, ascended to heaven and returned.","Muslim","All"
"1980-06-11","Kamehameha Day","Kamehameha Day, held annually on June 11, honors Kamehameha the Great (Kamehameha I), the monarch who united and established the Kingdom of Hawaii.","Local holiday","HI"
"1980-06-13","Friday the 13th","Friday the 13th is a day full of superstitious beliefs in communities worldwide.","Worldwide observance","All"
"1980-06-14","Army Birthday",NA,"Observance","All"
"1980-06-14","Flag Day","Flag Day is annually held on June 14 to honor the United States flag.","Observance","All"
"1980-06-15","Father's Day","Father's Day celebrates the contribution that fathers and father figures make to the lives of their children.","Observance","All"
"1980-06-17","Bunker Hill Day","Bunker Hill Day commemorates the Battle of Bunker Hill, which took place on June 17, 1775 on the Charlestown Peninsula, Boston Harbor, in Massachusetts.","Local holiday","MA"
"1980-06-19","Juneteenth","Juneteenth, also known as Freedom Day and Emancipation Day, is a holiday or observance in many US states to celebrate the anniversary of the abolition of slavery in Texas on June 19, 1865.","Local observance","All except AZ, HI, MD, MT, NH, ND, MP, SD, TX, UT"
"1980-06-19","Emancipation Day","Juneteenth, also known as Freedom Day and Emancipation Day, is a holiday or observance in many US states to celebrate the anniversary of the abolition of slavery in Texas on June 19, 1865.","Local holiday","TX"
"1980-06-20","West Virginia Day","West Virginia Day, or WV Day, celebrates the anniversary of the creation of the state of West Virginia on June 20, 1863.","Local holiday","WV"
"1980-06-21","June Solstice",NA,"Season","All"
"1980-07-04","Independence Day","On Independence Day, Americans celebrate the anniversary of publication of the Declaration of Independence from Great Britain in 1776.","National holiday","All"
"1980-07-14","Ramadan Starts","Many Muslims in the United States fast in the hours of daylight during Ramadan, the ninth month in the Islamic calendar.","Muslim","All"
"1980-07-14","Bastille Day",NA,"Observance","All"
"1980-07-18","National POW/MIA Recognition Day","National POW/MIA Recognition Day is annually observed in the United States on the third Friday of September.","Observance","All"
"1980-07-22","Tisha B'Av","Tisha B’Av is on the ninth day of the month of Av in the Jewish calendar.","Hebrew","All"
"1980-07-24","Pioneer Day","Pioneer Day is an annual state holiday in Utah in the United States. It is celebrated to honor the pioneers who demonstrated industry and bravery when they ventured to settle in a place that is now Salt Lake City.","Local holiday","UT"
"1980-08-04","Coast Guard Birthday",NA,"Observance","All"
"1980-08-04","Colorado Day","Colorado Day is an annual observance that commemorates the state’s birthday on August 1, 1876, and its history.","Local holiday","CO"
"1980-08-07","Purple Heart Day","Purple Heart Day on August 7 commemorates the day in 1782 when General George Washington created the Purple Heart Medal – a military decoration that is awarded to those wounded or killed while serving in the United States Armed Forces.","Observance","All"
"1980-08-08","Lailat al-Qadr","Laylat al Qadr is most likely to be held on one of the last 10 days of month of Ramadan in the Islamic calendar.","Muslim","All"
"1980-08-11","Victory Day","Victory Day, also known as VJ Day, is an annual state holiday celebrated on the second Monday in August in Rhode Island in the United States. It marks the anniversary of the Allies’ victory over Japan during World War II.","Local holiday","RI"
"1980-08-13","Eid al-Fitr","Eid al-Fitr, which is on the first day of the Islamic month of Shawwal, marks the end of the month-long fast of Ramadan.","Muslim","All"
"1980-08-14","Senior Citizens Day","National Senior Citizens Day is an observance on August 21 to honor the contributions of senior citizens in the United States.","Observance","All"
"1980-08-15","Assumption of Mary","Assumption Day is a Christian observance in the United States that is held annually on August 15. Catholics observe the Dormition (falling asleep) or the day that the Blessed Virgin Mary was received into heaven.","Christian","All"
"1980-08-15","Hawaii Statehood Day","Hawaii’s Statehood Day is celebrated on the third Friday of August to commemorate the anniversary of Hawaii’s statehood.","Local holiday","HI"
"1980-08-15","Bennington Battle Day observed","Bennington Battle Day is a state holiday in Vermont. It commemorates the American victory at the Battle of Bennington during the Revolutionary War in north America in 1777.","Local holiday","VT"
"1980-08-16","Bennington Battle Day","Bennington Battle Day is a state holiday in Vermont. It commemorates the American victory at the Battle of Bennington during the Revolutionary War in north America in 1777.","Local holiday","VT"
"1980-08-19","National Aviation Day","National Aviation Day is observed in the United States on August 19 each year to celebrate the history and development of the aviation.","Observance","All"
"1980-08-26","Women's Equality Day","Women's Equality Day on August 26 is an annual observance that commemorates the anniversary of the first time voting rights were extended to women in the United States.","Observance","All"
"1980-08-27","Lyndon Baines Johnson Day","Lyndon Baines Johnson Day is a state holiday in Texas in the United States on August 27 each year. It commemorates the birthday of Lyndon Baines Johnson, who was the 36th president of the USA.","Local holiday","TX"
"1980-09-01","Labor Day","Labor Day is a federal holiday in the United States. It gives workers a day of rest and it celebrates their contribution to the American economy.","National holiday","All"
"1980-09-07","National Grandparents Day","National Grandparents Day is celebrated on the first Sunday of September after Labor Day in the United States.","Observance","All"
"1980-09-08","International Literacy Day","The United Nations' (UN) International Literacy Day is held on September 8 each year.","United Nations observance","All"
"1980-09-09","California Admission Day","California Admission Day is an annual legal observance in California, in the United States.","Local observance","CA"
"1980-09-11","Rosh Hashana","Rosh Hashana, also spelled Rosh Hashanah, is commonly known as the Jewish New Year. The event begins on the first day of Tishrei (or Tishri), which is the seventh month in the Jewish calendar.","Hebrew","All"
"1980-09-17","Citizenship Day","Constitution Day and Citizenship Day is a combined event that occurs in the United States on September 17 each year.","Observance","All"
"1980-09-18","Air Force Birthday",NA,"Observance","All"
"1980-09-20","Yom Kippur","Yom Kippur is an important Jewish holiday that falls on the 10th day of the month of Tishrei in the Jewish calendar.","Hebrew","All"
"1980-09-22","September Equinox",NA,"Season","All"
"1980-09-22","Emancipation Day","Emancipation Day is a state-wide observation in Ohio on September 22.","Local observance","OH"
"1980-09-25","First Day of Sukkot","The first day of Sukkot marks the start of the Sukkot festival for Jewish communities in many countries, including the United States.","Hebrew","All"
"1980-09-25","World Maritime Day","World Maritime Day is held on the last week of September each year, although the exact date is up to individual governments around the world.","United Nations observance","All"
"1980-09-27","World Tourism Day","The United Nations’ (UN) World Tourism Day is annually held on September 27 to raise awareness on the benefits of tourism.","United Nations observance","All"
"1980-09-28","Gold Star Mother's Day","Gold Star Mother’s Day is annually observed in the United States on the last Sunday of September.","Observance","All"
"1980-10-01","Last Day of Sukkot","Many Jewish communities in countries such as the United States observe the last day of Sukkot, which marks the end of the Sukkot festival.","Hebrew","All"
"1980-10-01","World Vegetarian Day"," World Vegetarian Day is an annual observation that spreads awareness about the health, environmental, and ethical benefits of following a vegetarian lifestyle. The unofficial holiday encourages people to avoid eating foods that include animal products and to adopt a plant-based diet.","Worldwide observance","All"
"1980-10-02","Shmini Atzeret","Shemini Atzeret (or Shmini Atzeret) is a Jewish holiday dedicated to the love of God, while Simchat Torah (Simchas Torah or Simhat Torah) marks the end of Sukkot and celebrates the completion of the annual reading of the Torah.","Hebrew","All"
"1980-10-03","Simchat Torah","Simchat Torah (Simchas Torah or Simhat Torah) is a Jewish holiday that marks the end of Sukkot and celebrates the completion of the annual reading of the Torah.","Hebrew","All"
"1980-10-04","Feast of St Francis of Assisi","Many Catholics in the United States, particularly those with pets, celebrate the Feast of St Francis of Assisi, the patron saint of animals and the environment, on October 4 each year.","Christian","All"
"1980-10-06","Child Health Day","Child Health Day is annually celebrated in the United States on the first Monday of October.","Observance","All"
"1980-10-09","World Post Day","World Post Day marks the anniversary of the Universal Postal Union's establishment in 1874. It is held on October 9 each year.","United Nations observance","All"
"1980-10-09","Leif Erikson Day","Leif Erikson Day honors the first Scandinavian known to have set foot on American soil and the contribution of the Nordic peoples to the United States.","Observance","All"
"1980-10-13","Navy Birthday","Navy Birthday celebrates the establishment of the United States Navy on October 13, 1775.","Observance","All"
"1980-10-13","Columbus Day","Columbus Day celebrates 15th century explorer Christopher Columbus's arrival in America in 1492.","National holiday","All except AK, HI, NV"
"1980-10-15","White Cane Safety Day","White Cane Safety Day is a United States observance annually held on October 15 to celebrate blind and visually impaired people's achievements and the importance of the white cane.","Observance","All"
"1980-10-16","Boss's Day","Boss’s Day is observed in many workplaces in the United States on October 16, or the nearest working day, each year.","Observance","All"
"1980-10-17","Alaska Day observed","Alaska Day is an official holiday in Alaska, the United States, on October 18 each year. It commemorates the formal transfer of Alaska from Russia to the United States on October 18, 1867.","Local holiday","AK"
"1980-10-18","Alaska Day","Alaska Day is an official holiday in Alaska, the United States, on October 18 each year. It commemorates the formal transfer of Alaska from Russia to the United States on October 18, 1867.","Local holiday","AK"
"1980-10-18","Sweetest Day",NA,"Observance","13 states"
"1980-10-24","United Nations Day","United Nations Day marks the anniversary of the United Nations Charter coming into force in 1945 and celebrates the work of this organization. United Nations Day annually falls on October 24.","United Nations observance","All"
"1980-10-24","World Development Information Day","The United Nations' (UN) World Development Information Day falls on October 24 each year.","United Nations observance","All"
"1980-10-26","Daylight Saving Time ends",NA,"Clock change/Daylight Saving Time","All"
"1980-10-31","Halloween","Halloween is celebrated by hosting costume parties, playing 'trick-or-treat', watching horror films, visiting haunted houses or carving lanterns out of pumpkins.","Observance","All"
"1980-10-31","Nevada Day","Nevada Day is an annual state holiday celebrated in Nevada, the United States, on the last Friday of October. It commemorates the statehood of Nevada, which took place on October 31, 1864.","Local holiday","NV"
"1980-11-01","All Saints' Day","Many Catholics honor all the saints on All Saints' Day, also known as All Hallows' Day, in the United States.","Christian","All"
"1980-11-02","All Souls' Day","Prayers for the dead are made on All Souls’ Day in the United States, which falls on November 2 each year. The Day of the Dead is also celebrated on this day.","Christian","All"
"1980-11-02","New York City Marathon","The New York City Marathon is one of the world's largest marathons and takes place every year in November.","Sporting event","All"
"1980-11-04","Election Day","Election Day in the United States of America is the day on which popular ballots are held to select public officials.","Observance","All"
"1980-11-06","Return Day","Return Day is held on the Thursday after Election Day in Georgetown, Delaware. It is a post-election tradition that celebrates the announcement of the election results with a unique festival and ceremony.","Local holiday","DE (partly)"
"1980-11-09","Muharram","The first day of Muharram, which is the first month in the Islamic calendar, marks the start of the Islamic New Year.","Muslim","All"
"1980-11-10","Marine Corps Birthday","Marine Corps Birthday celebrates the establishment of the United States Marine Corps on November 10, 1775.","Observance","All"
"1980-11-11","Veterans Day","Veterans Day in the USA is a holiday to honor all who have served in the United States Military Services.","National holiday","All"
"1980-11-20","Universal Children's Day","The United Nations' (UN) Universal Children's Day is an occasion to promote the welfare of children and an understanding between children all over the world. It is held on November 20 each year","United Nations observance","All"
"1980-11-20","Africa Industrialization Day","Africa Industrialization Day aims to stimulate the international community's commitment to the industrialization of Africa.","United Nations observance","All"
"1980-11-27","Thanksgiving Day","Thanksgiving Day in the United States is traditionally a holiday to give thanks for the food collected at the end of the harvest season.","National holiday","All"
"1980-11-28","Black Friday","Black Friday is the day after Thanksgiving Day in the USA. It is a busy shopping day and is a holiday in some states.","Observance","All"
"1980-11-29","International Day of Solidarity with the Palestinian People","The United Nations’ (UN) International Day of Solidarity with the Palestinian People is annually observed on November 29.","United Nations observance","All"
"1980-11-30","First Sunday of Advent","Many Christians in the United States observe the first Sunday of Advent, which marks the start of the Christian year.","Christian","All"
"1980-12-03","Chanukah/Hanukkah (first day)","The first day of Hanukkah is the start of the Hanukkah period, which lasts for eight days, from the 25th day of the month of Kislev to the second day of Tevet in the Hebrew calendar.","Hebrew","All"
"1980-12-06","St Nicholas Day","Some churches in the United States recognize St Nicholas' Day as a feast day.","Observance","All"
"1980-12-07","Pearl Harbor Remembrance Day","National Pearl Harbor Remembrance Day remembers those who died or were injured when Pearl Harbor, in Hawaii, was attacked in 1941.","Observance","All"
"1980-12-08","Feast of the Immaculate Conception","The Feast of the Immaculate Conception is a Christian observance on December 8 each year.","Christian","All"
"1980-12-10","Last Day of Chanukah","The last day of Hanukkah marks the end of a festive Jewish occasion, known as Hanukkah or Chanukah.","Hebrew","All"
"1980-12-10","Human Rights Day","Human Rights Day marks the anniversary of when the Universal Declaration of Human Rights was proclaimed.","United Nations observance","All"
"1980-12-12","Feast of Our Lady of Guadalupe","The Feast of Our Lady Guadalupe, in honor of Jesus’ mother Mary, is a Catholic observance in the United States.","Christian","All"
"1980-12-13","National Guard Birthday",NA,"Observance","All"
"1980-12-15","Bill of Rights Day",NA,"Observance","All"
"1980-12-17","Pan American Aviation Day","December 17 marks Pan American Aviation Day, which is annually observed in the United States.","Observance","All"
